Title,Release Date,Language
The Private Navy of Sgt. O'Farrell,1968,American
The Producers,1968,American
Project X,1968,American
"Rachel, Rachel",1968,American
The Road Hustlers,1968,American
Rogue's Gallery,1968,American
Romeo and Juliet,1968,American
Rosemary's Baby,1968,American
The Savage Seven,1968,American
The Scalphunters,1968,American
The Sea Gull,1968,American
The Secret Life of an American Wife,1968,American
The Secret War of Harry Frigg,1968,American
The Sergeant,1968,American
Sergeant Ryker,1968,American
The Shakiest Gun in the West,1968,American
The Shoes of the Fisherman,1968,American
Single Room Furnished,1968,American
Snow Treasure,1968,American
Sol Madrid,1968,American
The Split,1968,American
The Stalking Moon,1968,American
"Stay Away, Joe",1968,American
A Stranger in Town,1968,American
The Subject Was Roses,1968,American
The Sweet Ride,1968,American
Sweet November,1968,American
The Swimmer,1968,American
Tarzan and the Jungle Boy,1968,American
They Came to Rob Las Vegas,1968,American
The Thomas Crown Affair,1968,American
Three in the Attic,1968,American
A Time to Sing,1968,American
Villa Rides,1968,American
Voyage to the Planet of Prehistoric Women,1968,American
What's So Bad About Feeling Good?,1968,American
"Where Angels Go, Trouble Follows",1968,American
Where Eagles Dare,1968,American
Where Were You When the Lights Went Out?,1968,American
The Wicked Dreams of Paula Schultz,1968,American
Wild in the Streets,1968,American
The Wild Racers,1968,American
Will Penny,1968,American
With Six You Get Eggroll,1968,American
The Wrecking Crew,1968,American
The Young Animals,1968,American
The Young Runaways,1968,American
"Yours, Mine and Ours",1968,American
"Finders Keepers, Lovers Weepers!",1968,American
In the Year of the Pig,1968,American
Monterey Pop,1968,American
The Movie Orgy,1968,American
She-Devils on Wheels,1968,American
Walk the Angry Beach,1968,American
"The Wild, Wild World of Jayne Mansfield",1968,American
Wild 90,1968,American
The Agony and the Ecstasy,1965,American
Apache Uprising,1965,American
Arizona Raiders,1965,American
The Art of Love,1965,American
Baby the Rain Must Fall,1965,American
Bad Girls Do Cry,1965,American
Bad Girls Go to Hell,1965,American
Battle of the Bulge,1965,American
Beach Ball,1965,American
Beach Blanket Bingo,1965,American
The Bedford Incident,1965,American
Black Spurs,1965,American
Bloody Pit of Horror,1965,American
Boeing Boeing,1965,American
The Bounty Killer,1965,American
Bus Riley's Back in Town,1965,American
Cat Ballou,1965,American
The Cincinnati Kid,1965,American
City Under the Sea,1965,American
"Clarence, the Cross-Eyed Lion",1965,American
The Collector,1965,American
Convict Stage,1965,American
Crack in the World,1965,American
Dark Intruder,1965,American
Deadwood '76,1965,American
Dear Brigitte,1965,American
"Die, Monster, Die!",1965,American
The Dirty Game,1965,American
Do Not Disturb,1965,American
Doctor Zhivago,1965,American
Dr. Goldfoot and the Bikini Machine,1965,American
The Family Jewels,1965,American
"Faster, Pussycat! Kill! Kill!",1965,American
Finger on the Trigger,1965,American
The Flight of the Phoenix,1965,American
The Fool Killer,1965,American
Fort Courageous,1965,American
Frankenstein Meets the Spacemonster,1965,American
Genghis Khan,1965,American
Girl Happy,1965,American
The Girls on the Beach,1965,American
The Glory Guys,1965,American
The Great Race,1965,American
The Great Sioux Massacre,1965,American
The Greatest Story Ever Told,1965,American
Guns of Diablo,1965,American
The Hallelujah Trail,1965,American
Harum Scarum,1965,American
Having a Wild Weekend,1965,American
"Harvey Middleman, Fireman",1965,American
How to Murder Your Wife,1965,American
How to Stuff a Wild Bikini,1965,American
The Human Duplicators,1965,American
I Saw What You Did,1965,American
I'll Take Sweden,1965,American
In Harm's Way,1965,American
Indian Paint,1965,American
Inside Daisy Clover,1965,American
"John Goldfarb, Please Come Home",1965,American
Joy in the Morning,1965,American
King Rat,1965,American
Love and Kisses,1965,American
Love Has Many Faces,1965,American
The Loved One,1965,American
Major Dundee,1965,American
The Man from Button Willow,1965,American
Mara of the Wilderness,1965,American
Marriage on the Rocks,1965,American
The Martin Fellers,1965,American
McHale's Navy Joins the Air Force,1965,American
Mickey One,1965,American
Mister Moses,1965,American
The Monkey's Uncle,1965,American
The Money Trap,1965,American
Monster A Go-Go,1965,American
My Blood Runs Cold,1965,American
The Naked Brigade,1965,American
The Naked Prey,1965,American
Never Too Late,1965,American
Nightmare in the Sun,1965,American
None But The Brave,1965,American
Once a Thief,1965,American
One Way Wahine,1965,American
Operation C.I.A.,1965,American
The Outlaws Is Coming,1965,American
A Patch of Blue,1965,American
Promise Her Anything,1965,American
A Rage to Live,1965,American
The Ravagers,1965,American
Red Line 7000,1965,American
Requiem for a Gunfighter,1965,American
The Reward,1965,American
Ride in the Whirlwind,1965,American
The Rounders,1965,American
Runaway Girl,1965,American
The Sandpiper,1965,American
The Satan Bug,1965,American
Sergeant Deadhead,1965,American
Ship of Fools,1965,American
Situation Hopeless... But Not Serious,1965,American
Ski Party,1965,American
The Slender Thread,1965,American
Son of a Gunfighter,1965,American
The Sons of Katie Elder,1965,American
The Sound of Music,1965,American
Space Probe Taurus,1965,American
Strange Bedfellows,1965,American
A Swingin' Summer,1965,American
The Sword of Ali Baba,1965,American
Taffy and the Jungle Hunter,1965,American
That Darn Cat!,1965,American
That Funny Feeling,1965,American
The Third Day,1965,American
A Thousand Clowns,1965,American
Tickle Me,1965,American
Town Tamer,1965,American
The Truth About Spring,1965,American
Two on a Guillotine,1965,American
Up from the Beach,1965,American
A Very Special Favor,1965,American
Village of the Giants,1965,American
Von Ryan's Express,1965,American
The War Lord,1965,American
War Party,1965,American
What's New Pussycat?,1965,American
When the Boys Meet the Girls,1965,American
Wild on the Beach,1965,American
Wild Seed,1965,American
Willy McBean and his Magic Machine,1965,American
Winter A-Go-Go,1965,American
The World of Abbott and Costello,1965,American
Young Dillinger,1965,American
Young Fury,1965,American
Zebra in the Kitchen,1965,American
2000 Years Later,1969,American
Alice's Restaurant,1969,American
"Angel, Angel, Down We Go",1969,American
Angel in My Pocket,1969,American
The Appointment,1969,American
The April Fools,1969,American
The Arrangement,1969,American
The Big Bounce,1969,American
The Big Cube,1969,American
Blood of Dracula's Castle,1969,American
Blue Movie,1969,American
Bob & Carol & Ted & Alice,1969,American
A Boy Named Charlie Brown,1969,American
The Bridge at Remagen,1969,American
The Bushbaby,1969,American
Butch Cassidy and the Sundance Kid,1969,American
Cactus Flower,1969,American
The Candy Man,1969,American
Castle Keep,1969,American
The Chairman,1969,American
Change of Habit,1969,American
Change of Mind,1969,American
"Cherry, Harry & Raquel!",1969,American
Childish Things,1969,American
The Comic,1969,American
The Computer Wore Tennis Shoes,1969,American
The Cycle Savages,1969,American
Daddy's Gone A-Hunting,1969,American
Death of a Gunfighter,1969,American
De Sade,1969,American
The Desperados,1969,American
The Devil's 8,1969,American
Don't Drink the Water,1969,American
Downhill Racer,1969,American
A Dream of Kings,1969,American
Easy Rider,1969,American
The Extraordinary Seaman,1969,American
Eye of the Cat,1969,American
Fear No Evil,1969,American
The Female Bunch,1969,American
The First Time,1969,American
"Gaily, Gaily",1969,American
Gidget Grows Up,1969,American
The Girl Who Knew Too Much,1969,American
The Good Guys and the Bad Guys,1969,American
"Goodbye, Columbus",1969,American
"Goodbye, Mr. Chips",1969,American
The Grasshopper,1969,American
The Great Bank Robbery,1969,American
Guns in the Heather,1969,American
Guns of the Magnificent Seven,1969,American
The Guru,1969,American
The Gypsy Moths,1969,American
"Hail, Hero!",1969,American
Hannibal Brooks,1969,American
The Happy Ending,1969,American
Hard Contract,1969,American
Heaven with a Gun,1969,American
"Hello, Dolly!",1969,American
Hello Down There,1969,American
Hell's Angels '69,1969,American
Hell's Belles,1969,American
"Hook, Line & Sinker",1969,American
House of Cards,1969,American
How to Commit Marriage,1969,American
"If It's Tuesday, This Must Be Belgium",1969,American
The Illustrated Man,1969,American
In Search of Gregory,1969,American
It Takes All Kinds,1969,American
John and Mary,1969,American
"Krakatoa, East of Java",1969,American
Last Summer,1969,American
The Learning Tree,1969,American
Lost Flight,1969,American
The Lost Man,1969,American
The Love God?,1969,American
Mackenna's Gold,1969,American
The Mad Room,1969,American
The Madwoman of Chaillot,1969,American
The Maltese Bippy,1969,American
"Me, Natalie",1969,American
Medium Cool,1969,American
Midas Run,1969,American
Midnight Cowboy,1969,American
Model Shop,1969,American
The Monitors,1969,American
More Dead Than Alive,1969,American
My Side of the Mountain,1969,American
Naked Angels,1969,American
The Night of the Following Day,1969,American
Nightmare in Wax,1969,American
Number One,1969,American
Once Upon a Time in the West,1969,American
Once You Kiss a Stranger,1969,American
On Her Majesty's Secret Service,1969,American
Out of It,1969,American
Paint Your Wagon,1969,American
Putney Swope,1969,American
The Rain People,1969,American
The Reivers,1969,American
The Royal Hunt of the Sun,1969,American
Sam Whiskey,1969,American
The Secret of Santa Vittoria,1969,American
The Sidehackers,1969,American
Some Kind of a Nut,1969,American
The Sterile Cuckoo,1969,American
Support Your Local Sheriff,1969,American
Sweet Charity,1969,American
Take the Money and Run,1969,American
A Talent for Loving,1969,American
Tell Them Willie Boy Is Here,1969,American
That Cold Day in the Park,1969,American
"They Shoot Horses, Don't They?",1969,American
The Thousand Plane Raid,1969,American
A Time for Dying,1969,American
The Trouble with Girls,1969,American
True Grit,1969,American
The Undefeated,1969,American
The Valley of Gwangi,1969,American
Viva Max!,1969,American
A Walk with Love and Death,1969,American
The Wedding Party,1969,American
What Ever Happened to Aunt Alice?,1969,American
Where It's At,1969,American
The Wild Bunch,1969,American
The Wrecking Crew,1969,American
Young Billy Young,1969,American
Bambi Meets Godzilla,1969,American
Czechoslovakia 1968,1969,American
The Fantastic Plastic Machine,1969,American
10:30 P.M. Summer,1966,American
After the Fox,1966,American
Agent for H.A.R.M.,1966,American
Alvarez Kelly,1966,American
Ambush Bay,1966,American
An American Dream,1966,American
And Now Miguel,1966,American
Any Wednesday,1966,American
The Appaloosa,1966,American
Around the World Under the Sea,1966,American
Assault on a Queen,1966,American
Beau Geste,1966,American
The Bible: In the Beginning,1966,American
A Big Hand for the Little Lady,1966,American
Billy the Kid vs. Dracula,1966,American
Birds Do It,1966,American
Blood Bath,1966,American
"Boy, Did I Get a Wrong Number!",1966,American
Cast a Giant Shadow,1966,American
Castle of Evil,1966,American
The Cat,1966,American
Chamber of Horrors,1966,American
The Chase,1966,American
Chelsea Girls,1966,American
Country Boy,1966,American
Curse of the Swamp Creature,1966,American
Cyborg 2087,1966,American
The Daydreamer,1966,American
Dead Heat on a Merry-Go-Round,1966,American
Destination Inner Space,1966,American
Dimension 5,1966,American
"Don't Worry, We'll Think of a Title",1966,American
Dr. Goldfoot and the Girl Bombs,1966,American
Drop Dead Darling,1966,American
Duel at Diablo,1966,American
El Dorado,1966,American
The Endless Summer,1966,American
An Eye for an Eye,1966,American
Fantastic Voyage,1966,American
The Fat Spy,1966,American
The Fighting Prince of Donegal,1966,American
A Fine Madness,1966,American
Fireball 500,1966,American
"Follow Me, Boys!",1966,American
The Fortune Cookie,1966,American
Frankie and Johnny,1966,American
Funeral in Berlin,1966,American
A Funny Thing Happened on the Way to the Forum,1966,American
The Gentle Rain,1966,American
The Ghost and Mr. Chicken,1966,American
The Ghost in the Invisible Bikini,1966,American
The Glass Bottom Boat,1966,American
Grand Prix,1966,American
The Group,1966,American
Hold On!,1966,American
Hot Rod Hullabaloo,1966,American
How to Steal a Million,1966,American
Incident at Phantom Hill,1966,American
Is Paris Burning?,1966,American
Jesse James Meets Frankenstein's Daughter,1966,American
Johnny Reno,1966,American
Johnny Tiger,1966,American
Kid Rodelo,1966,American
Kiss the Girls and Make Them Die,1966,American
The Las Vegas Hillbillys,1966,American
The Last of the Secret Agents?,1966,American
Let's Kill Uncle,1966,American
Lord Love a Duck,1966,American
Lost Command,1966,American
"Lt. Robin Crusoe, U.S.N.",1966,American
Madame X,1966,American
Made in Paris,1966,American
A Man Called Adam,1966,American
The Man Called Flintstone,1966,American
A Man Could Get Killed,1966,American
A Man for All Seasons,1966,American
Mister Buddwing,1966,American
Moment to Moment,1966,American
"Munster, Go Home!",1966,American
Murderers' Row,1966,American
Nashville Rebel,1966,American
The Navy vs. the Night Monsters,1966,American
Nevada Smith,1966,American
The Night of the Grizzly,1966,American
"Not with My Wife, You Don't!",1966,American
"Namu, the Killer Whale",1966,American
Once Before I Die,1966,American
The Oscar,1966,American
Our Man Flint,1966,American
Out of Sight,1966,American
The Pad and How to Use It,1966,American
"Paradise, Hawaiian Style",1966,American
Picture Mommy Dead,1966,American
The Plainsman,1966,American
The Poppy Is Also a Flower,1966,American
The Professionals,1966,American
Queen of Blood,1966,American
The Quiller Memorandum,1966,American
The Rare Breed,1966,American
Red Zone Cuba,1966,American
Return of the Seven,1966,American
Ride Beyond Vengeance,1966,American
Ride in the Whirlwind,1966,American
Rush to Judgment,1966,American
"The Russians Are Coming, the Russians Are Coming",1966,American
The Sand Pebbles,1966,American
Savage Pampas,1966,American
The Shooting,1966,American
The Silencers,1966,American
The Singing Nun,1966,American
The Swinger,1966,American
Tarzan and the Valley of Gold,1966,American
Texas Across the River,1966,American
The Texican,1966,American
That Tennessee Beat,1966,American
This Property Is Condemned,1966,American
Three on a Couch,1966,American
The Three Sisters,1966,American
To the Shores of Hell,1966,American
Torn Curtain,1966,American
The Trouble with Angels,1966,American
The Undertaker and His Pals,1966,American
The Ugly Dachshund,1966,American
The Unkissed Bride,1966,American
Waco,1966,American
"Walk, Don't Run",1966,American
Way...Way Out,1966,American
"What Did You Do in the War, Daddy?",1966,American
"What's Up, Tiger Lily?",1966,American
Who's Afraid of Virginia Woolf?,1966,American
The Wild Angels,1966,American
Wild Wild Winter,1966,American
Winnie the Pooh and the Honey Tree,1966,American
Women of the Prehistoric Planet,1966,American
You're a Big Boy Now,1966,American
The Adventures of Bullwhip Griffin,1967,American
The Ambushers,1967,American
The Ballad of Josie,1967,American
Barefoot in the Park,1967,American
Beach Red,1967,American
The Big Mouth,1967,American
Bikini Paradise,1967,American
Billion Dollar Brain,1967,American
Bonnie and Clyde,1967,American
The Born Losers,1967,American
The Busy Body,1967,American
The Cape Town Affair,1967,American
The Caper of the Golden Bulls,1967,American
Casino Royale,1967,American
Catalina Caper,1967,American
"Charlie, the Lonesome Cougar",1967,American
The Christmas Kid,1967,American
"C'mon, Let's Live a Little",1967,American
Come Spy with Me,1967,American
The Comedians,1967,American
Cool Hand Luke,1967,American
The Cool Ones,1967,American
A Covenant with Death,1967,American
Custer of the West,1967,American
The Desperate Ones,1967,American
Devil's Angels,1967,American
The Dirty Dozen,1967,American
Divorce American Style,1967,American
Doctor Dolittle,1967,American
"Doctor, You've Got to Be Kidding!",1967,American
Don't Make Waves,1967,American
Double Trouble,1967,American
"Easy Come, Easy Go",1967,American
Eight on the Lam,1967,American
Enter Laughing,1967,American
The Family Way,1967,American
The Fastest Guitar Alive,1967,American
The Fearless Vampire Killers,1967,American
Fearless Frank,1967,American
First to Fight,1967,American
The Flim-Flam Man,1967,American
Fort Utah,1967,American
The Fox,1967,American
Gentle Giant,1967,American
The Glory Stompers,1967,American
The Gnome-Mobile,1967,American
Good Morning and... Goodbye!,1967,American
"The Good, the Bad and the Ugly",1967,American
Good Times,1967,American
The Graduate,1967,American
Guess Who's Coming to Dinner,1967,American
A Guide for the Married Man,1967,American
Gunfight in Abilene,1967,American
The Happening,1967,American
The Happiest Millionaire,1967,American
Hell on Wheels,1967,American
The Hellcats,1967,American
Hells Angels on Wheels,1967,American
Hillbillys in a Haunted House,1967,American
The Honey Pot,1967,American
The Hostage,1967,American
Hostile Guns,1967,American
Hot Rods to Hell,1967,American
Hour of the Gun,1967,American
House of a Thousand Dolls,1967,American
How to Succeed in Business Without Really Trying,1967,American
Hurry Sundown,1967,American
In Cold Blood,1967,American
In the Heat of the Night,1967,American
In Like Flint,1967,American
The Incident,1967,American
Island of the Lost,1967,American
It's a Bikini World,1967,American
Jack of Diamonds,1967,American
The Jackals,1967,American
Journey to the Center of Time,1967,American
The Jungle Book,1967,American
King Kong Escapes,1967,American
Kill a Dragon,1967,American
The King's Pirate,1967,American
The Last Challenge,1967,American
The Love-Ins,1967,American
Mad Monster Party,1967,American
Mars Needs Women,1967,American
"Monkeys, Go Home!",1967,American
The Night of the Generals,1967,American
"Oh Dad, Poor Dad, Mamma's Hung You in the Closet and I'm Feelin' So Sad",1967,American
The Perils of Pauline,1967,American
Point Blank,1967,American
The President's Analyst,1967,American
The Producers,1967,American
Red Tomahawk,1967,American
Reflections in a Golden Eye,1967,American
The Reluctant Astronaut,1967,American
Return of the Gunfighter,1967,American
The Ride to Hangman's Tree ,1967,American
Riot on Sunset Strip,1967,American
Rough Night in Jericho,1967,American
Run Like a Thief,1967,American
The Scorpio Letters,1967,American
The Shooting,1967,American
The Spirit Is Willing,1967,American
The St. Valentine's Day Massacre,1967,American
The Taming of the Shrew,1967,American
Tarzan and the Great River,1967,American
Thoroughly Modern Millie,1967,American
Three Bites of the Apple,1967,American
Thunder Alley,1967,American
The Tiger Makes Out,1967,American
A Time for Killing,1967,American
Tony Rome,1967,American
Track of Thunder,1967,American
The Trip,1967,American
Up the Down Staircase,1967,American
Valley of the Dolls,1967,American
The Venetian Affair,1967,American
Wait Until Dark,1967,American
The War Wagon,1967,American
Warning Shot,1967,American
Waterhole No. 3,1967,American
The Way West,1967,American
Welcome to Hard Times,1967,American
Who's Minding the Mint?,1967,American
Who's That Knocking at My Door,1967,American
Woman Times Seven,1967,American
You Only Live Twice,1967,American
The Young Warriors,1967,American
Dont Look Back,1967,American
Titicut Follies,1967,American
Common Law Cabin,1967,American
The Girl with the Hungry Eyes,1967,American
Winchester '73,1967,American
A.k.a. Cassius Clay,1970,American
Adam at Six A.M.,1970,American
Adam's Woman,1970,American
The Adventurers,1970,American
Alex in Wonderland,1970,American
The Angel Levine,1970,American
Angel Unchained,1970,American
The Aristocats,1970,American
The Baby Maker,1970,American
The Ballad of Cable Hogue,1970,American
Beneath the Planet of the Apes,1970,American
Beyond the Valley of the Dolls,1970,American
Bloody Mama,1970,American
The Boatniks,1970,American
The Boys in the Band,1970,American
Brewster McCloud,1970,American
A Bullet for Pretty Boy,1970,American
Cannon for Cordoba,1970,American
C.C. and Company,1970,American
The Cheyenne Social Club,1970,American
The Christine Jorgensen Story,1970,American
Cockeyed Cowboys of Calico County,1970,American
Colossus: The Forbin Project,1970,American
Cotton Comes to Harlem,1970,American
"Count Yorga, Vampire",1970,American
Darker than Amber,1970,American
Darling Lili,1970,American
The Delta Factor,1970,American
Diary of a Mad Housewife,1970,American
Dirty Dingus Magee,1970,American
The Dunwich Horror,1970,American
El Condor,1970,American
Elvis: That's the Way It Is,1970,American
End of the Road,1970,American
Five Easy Pieces,1970,American
 ,1970,American
Flesh Feast,1970,American
Getting Straight,1970,American
Gimme Shelter,1970,American
The Grasshopper,1970,American
The Great White Hope,1970,American
Halls of Anger,1970,American
The Hawaiians,1970,American
Hercules in New York,1970,American
"Hi, Mom!",1970,American
The Honeymoon Killers,1970,American
Hornets' Nest,1970,American
House of Dark Shadows,1970,American
How Do I Love Thee?,1970,American
I Love My Wife,1970,American
I Never Sang for My Father,1970,American
I Walk the Line,1970,American
The Invincible Six,1970,American
Kelly's Heroes,1970,American
King: A Filmed Record... Montgomery to Memphis,1970,American
The Kremlin Letter,1970,American
The Lady in the Car with Glasses and a Gun,1970,American
The Landlord,1970,American
Land Raiders,1970,American
The Last Escape,1970,American
Last of the Mobile Hot Shots,1970,American
The Last Warrior,1970,American
The Lawyer,1970,American
The Liberation of L.B. Jones,1970,American
Little Big Man,1970,American
Little Fauss and Big Halsy,1970,American
Love Story,1970,American
Lovers and Other Strangers,1970,American
The Man from O.R.G.Y.,1970,American
Macho Callahan,1970,American
A Man Called Horse,1970,American
The McMasters,1970,American
Menace on the Mountain,1970,American
The Molly Maguires,1970,American
Monte Walsh,1970,American
The Moonshine War,1970,American
"My Lover, My Son",1970,American
Myra Breckinridge,1970,American
Nam's Angels,1970,American
No Blade of Grass,1970,American
On a Clear Day You Can See Forever,1970,American
One More Time,1970,American
The Only Game in Town,1970,American
The Out-of-Towners,1970,American
The Owl and the Pussycat,1970,American
The People Next Door,1970,American
The Phantom Tollbooth,1970,American
The Phynx,1970,American
Pieces of Dreams,1970,American
The Private Life of Sherlock Holmes,1970,American
Promise at Dawn,1970,American
"Pussycat, Pussycat, I Love You",1970,American
Puzzle of a Downfall Child,1970,American
R. P. M.,1970,American
"Rabbit, Run",1970,American
The Rebel Rousers,1970,American
The Revolutionary,1970,American
Rio Lobo,1970,American
Ritual of Evil,1970,American
Savage Intruder,1970,American
Soldier Blue,1970,American
Something for Everyone,1970,American
Song of Norway,1970,American
Start the Revolution Without Me,1970,American
The Strawberry Statement,1970,American
Street Scenes,1970,American
Suppose They Gave a War and Nobody Came,1970,American
"Tell Me That You Love Me, Junie Moon",1970,American
There Was a Crooked Man...,1970,American
They Call Me MISTER Tibbs!,1970,American
Tiger by the Tail,1970,American
Too Late the Hero,1970,American
Tora! Tora! Tora!,1970,American
The Traveling Executioner,1970,American
The Twelve Chairs,1970,American
Two Mules for Sister Sara,1970,American
Up in the Cellar,1970,American
A Walk in the Spring Rain,1970,American
Watermelon Man,1970,American
The Way We Live Now,1970,American
What Do You Say to a Naked Lady?,1970,American
Where's Poppa?,1970,American
Which Way to the Front?,1970,American
The Wild Country,1970,American
The Yin and the Yang of Mr. Go,1970,American
You Can't Win 'Em All,1970,American
Zabriskie Point,1970,American
Zig Zag,1970,American
200 Motels,1971,American
The Anderson Tapes,1971,American
The Andromeda Strain,1971,American
The Barefoot Executive,1971,American
The Battle of Love's Return,1971,American
Bedknobs and Broomsticks,1971,American
Been Down So Long It Looks Like Up to Me,1971,American
The Beguiled,1971,American
Believe in Me,1971,American
The Big Doll House,1971,American
Big Jake,1971,American
Billy Jack,1971,American
Black Noon,1971,American
Bless the Beasts and Children,1971,American
Blood and Lace,1971,American
Blood Thirst,1971,American
Born to Win,1971,American
Boys in the Sand,1971,American
The Boy Friend,1971,American
Brian's Song,1971,American
The Bridge in the Jungle,1971,American
Brother John,1971,American
B.S. I Love You,1971,American
Bunny O'Hare,1971,American
Cain's Cutthroats,1971,American
Carnal Knowledge,1971,American
The Christian Licorice Store,1971,American
Chrome and Hot Leather,1971,American
City Beneath the Sea,1971,American
Clay Pigeon,1971,American
A Clockwork Orange,1971,American
Cold Turkey,1971,American
Cry Uncle!,1971,American
Day of the Wolves,1971,American
The Deserter,1971,American
Desperate Characters,1971,American
Diamonds Are Forever,1971,American
Dirty Harry,1971,American
Doctors' Wives,1971,American
Dracula vs. Frankenstein,1971,American
"Drive, He Said",1971,American
Escape from the Planet of the Apes,1971,American
Evel Knievel,1971,American
Fiddler on the Roof,1971,American
Fools' Parade,1971,American
Four Rode Out,1971,American
The French Connection,1971,American
The Gang That Couldn't Shoot Straight,1971,American
The Gatling Gun,1971,American
Going Home,1971,American
The Grissom Gang,1971,American
A Gunfight,1971,American
Hannie Caulder,1971,American
"Happy Birthday, Wanda June",1971,American
The Hard Ride,1971,American
Harold and Maude,1971,American
The Hellstrom Chronicle,1971,American
The Hired Hand,1971,American
The Horsemen,1971,American
The Hospital,1971,American
A Howling in the Woods,1971,American
How to Frame a Figg,1971,American
The Hunting Party,1971,American
The Incredible 2-Headed Transplant,1971,American
Jennifer on My Mind,1971,American
Johnny Got His Gun,1971,American
The Last Movie,1971,American
The Last Picture Show,1971,American
The Last Rebel,1971,American
The Last Run,1971,American
Le Mans,1971,American
Let's Scare Jessica to Death,1971,American
The Light at the Edge of the World,1971,American
Little Murders,1971,American
The Love Machine,1971,American
Made for Each Other,1971,American
Making It,1971,American
Man and Boy,1971,American
Man in the Wilderness,1971,American
The Marriage of a Young Stockbroker,1971,American
McCabe & Mrs. Miller,1971,American
The Mephisto Waltz,1971,American
The Million Dollar Duck,1971,American
Minnie and Moskowitz,1971,American
Mrs. Pollifax-Spy,1971,American
Murders in the Rue Morgue,1971,American
My Old Man's Place,1971,American
A New Leaf,1971,American
The Night God Screamed,1971,American
Night of Dark Shadows,1971,American
The Omega Man,1971,American
One More Train to Rob,1971,American
The Organization,1971,American
The Panic in Needle Park,1971,American
Pink Narcissus,1971,American
Play Misty for Me,1971,American
Plaza Suite,1971,American
Pretty Maids All in a Row,1971,American
Private Duty Nurses,1971,American
Punishment Park,1971,American
The Pursuit of Happiness,1971,American
Raid on Rommel,1971,American
Red Sky at Morning,1971,American
The Resurrection of Zachary Wheeler,1971,American
The Return of Count Yorga,1971,American
A Safe Place,1971,American
The Sandpit Generals,1971,American
Scandalous John,1971,American
The Seven Minutes,1971,American
Shoot Out,1971,American
"Simon, King of the Witches",1971,American
The Ski Bum,1971,American
Skin Game,1971,American
Something Big,1971,American
Sometimes a Great Notion,1971,American
Soul to Soul,1971,American
Star Spangled Girl,1971,American
The Steagle,1971,American
Straw Dogs,1971,American
Such Good Friends,1971,American
Summer of '42,1971,American
Support Your Local Gunfighter!,1971,American
Sweet Sweetback's Baadasssss Song,1971,American
THX 1138,1971,American
T.R. Baskin,1971,American
Taking Off,1971,American
There's Always Vanilla,1971,American
They Might Be Giants,1971,American
The Todd Killings,1971,American
The Touch,1971,American
The Touch of Satan,1971,American
A Town Called Bastard,1971,American
The Trojan Women,1971,American
Two-Lane Blacktop,1971,American
Valdez Is Coming,1971,American
Vanishing Point,1971,American
The Velvet Vampire,1971,American
Von Richthofen and Brown,1971,American
Wake in Fright,1971,American
Welcome Home Soldier Boys,1971,American
Welcome to the Club,1971,American
Werewolves on Wheels,1971,American
What's the Matter with Helen?,1971,American
Who Is Harry Kellerman and Why Is He Saying Those Terrible Things About Me?,1971,American
Who Killed Mary What's 'Er Name?,1971,American
Wild Rovers,1971,American
Willy Wonka & the Chocolate Factory,1971,American
Women in Cages,1971,American
You've Got to Walk It Like You Talk It or You'll Lose That Beat,1971,American
The Young Graduates,1971,American
The Zodiac Killer,1971,American
Across 110th Street,1972,American
Another Nice Mess,1972,American
Bad Company,1972,American
Behind the Green Door,1972,American
Beware! The Blob,1972,American
The Big Bird Cage,1972,American
The Biscuit Eater,1972,American
Black Girl,1972,American
Black Gunn,1972,American
Black Rage,1972,American
Boxcar Bertha,1972,American
The Bravos,1972,American
Buck and the Preacher,1972,American
Butterflies Are Free,1972,American
Cancel My Reservation,1972,American
The Candidate,1972,American
The Carey Treatment,1972,American
Chato's Land,1972,American
Children Shouldn't Play with Dead Things,1972,American
Child's Play,1972,American
Cisco Pike,1972,American
"Come Back, Charleston Blue",1972,American
Conquest of the Planet of the Apes,1972,American
Cool Breeze,1972,American
The Cowboys,1972,American
"Cry for Me, Billy",1972,American
The Culpepper Cattle Co.,1972,American
The Daughters of Joshua Cabe,1972,American
Daughters of Satan,1972,American
Deadhead Miles,1972,American
Deep Throat,1972,American
Dirty Little Billy,1972,American
The Doberman Gang,1972,American
Dr. Phibes Rises Again,1972,American
"Duck, You Sucker!",1972,American
Dynamite Chicken,1972,American
The Effect of Gamma Rays on Man-in-the-Moon Marigolds,1972,American
Elvis on Tour,1972,American
Endless Night,1972,American
Every Little Crook and Nanny,1972,American
Everything You Always Wanted to Know About Sex* (*But Were Afraid to Ask),1972,American
Fat City,1972,American
The Final Comedown,1972,American
Five Summer Stories,1972,American
Follow Me!,1972,American
Four More Years,1972,American
Fritz the Cat,1972,American
"Georgia, Georgia",1972,American
Get to Know Your Rabbit,1972,American
The Getaway,1972,American
Gidget Gets Married,1972,American
Glass Houses,1972,American
The Godfather,1972,American
Grave of the Vampire,1972,American
The Great Northfield Minnesota Raid,1972,American
The Great Waltz,1972,American
The Groundstar Conspiracy,1972,American
Hammersmith Is Out,1972,American
The Heartbreak Kid,1972,American
Hickey & Boggs,1972,American
Hit Man,1972,American
Home for the Holidays,1972,American
The Honkers,1972,American
The Hot Box,1972,American
The Hot Rock,1972,American
Irish Whiskey Rebellion,1972,American
J.W. Coop,1972,American
Jeremiah Johnson,1972,American
Joe Kidd,1972,American
Journey Back to Oz,1972,American
